Code,name,full_address,address,County,State,ZIP,GEOID,latitude,longitude,rating,reviews,range,TotalPopulation,AsianPopulation,MedianHouseholdIncome,PublicTransportationCommuters,AsianDensity
1,House of Foong Lin,"4613 Willow Ln, Bethesda, MD 20815",4613 Willow Ln,Bethesda,MD,20815,240317048042,38.9816547,-77.0920474,4.3,349,2,736,20,209,106875,0.027173912
2,Golden House Restaurant,"8100 Wisconsin Ave, Bethesda, MD 20814",8100 Wisconsin Ave,Bethesda,MD,20814,240317048063,38.9910809,-77.0958506,3.7,196,1,1379,274,195,112772,0.19869471
3,Wang Dynasty,"4929 Bethesda Ave, Bethesda, MD 20814",4929 Bethesda Ave,Bethesda,MD,20814,240317047002,38.98096,-77.099611,4.4,194,2,855,0,37,156094,0
4,Mayflower Chinese Restaurant & Carryout,"7925 Norfolk Ave, Bethesda, MD 20814",7925 Norfolk Ave,Bethesda,MD,20814,240317048061,38.9894555,-77.0977671,3.6,131,1,1366,269,133,79712,0.19692533
5,City Lights of China,"4953 Bethesda Ave, Bethesda, MD 20814",4953 Bethesda Ave,Bethesda,MD,20814,240317047002,38.9810712,-77.100085,4,143,1,855,0,37,156094,0
6,Q By Peter Chang,"4500 East-West Hwy #100, Bethesda, MD 20814",4500 East-West Hwy #100,Bethesda,MD,20814,240317048042,38.984756,-77.091161,4.2,801,3,736,20,209,106875,0.027173912
7,CHIKO,"7280 Woodmont Ave, Bethesda, MD 20814",7280 Woodmont Ave,Bethesda,MD,20814,240317048041,38.9823181,-77.0962566,4.1,136,2,1313,212,190,159917,0.16146231
8,Lao Sze Chuan,"20 Paseo Dr, North Bethesda, MD 20852",20 Paseo Dr,North Bethesda,MD,20852,240317012223,39.0428789,-77.1121164,3.9,653,2,1111,229,60,132083,0.20612061
9,Hunan Kitchen,"5253 River Rd, Bethesda, MD 20816",5253 River Rd,Bethesda,MD,20816,240317055022,38.9660609,-77.104407,3.5,108,1,639,21,21,250001,0.032863848
10,Banana Leaves Asian Cafe,"7816 Old Georgetown Rd, Bethesda, MD 20814",7816 Old Georgetown Rd,Bethesda,MD,20814,240317047001,38.9877052,-77.0994094,3.5,71,2,641,117,56,250001,0.1825273
11,Fortune Cooky Restaurant-Bethesda,"7816 Old Georgetown Rd, Bethesda, MD 20814",7816 Old Georgetown Rd,Bethesda,MD,20814,240317047001,38.987655,-77.0994556,4.1,8,1,641,117,56,250001,0.1825273
12,Red Ginger,"10525 Summit Ave, Kensington, MD 20895",10525 Summit Ave,Kensington,MD,20895,240317042002,39.0289084,-77.0782826,4.2,172,2,1093,37,57,228264,0.033851784
13,Good Harvest (Chuan Tian Xia）,"5700 Fishers Ln Suite A, Rockville, MD 20852",5700 Fishers Ln Suite A,Rockville,MD,20852,240317012192,39.06261689999999,-77.1168427,4.6,104,4,1091,106,76,70724,0.097158574
14,China Taste,"155 Rollins Ave, Rockville, MD 20852",155 Rollins Ave,Rockville,MD,20852,240317009041,39.0590689,-77.1246954,4.1,322,1,2381,1005,97,54073,0.42209154
15,Meiwah Restaurant,"4457 Willard Ave, Chevy Chase, MD 20815",4457 Willard Ave,Chevy Chase,MD,20815,240317055011,38.96218229999999,-77.0880879,4,487,2,1621,436,360,124826,0.26896977
16,China Gourmet,"3739 University Blvd W, Kensington, MD 20895",3739 University Blvd W,Kensington,MD,20895,240317036012,39.03301,-77.074095,4.2,307,2,1521,80,23,153194,0.052596975
17,Far East Restaurant,"5055 Nicholson Ln, Rockville, MD 20852",5055 Nicholson Ln,Rockville,MD,20852,240317012162,39.0462895,-77.104126,4.1,997,2,1630,442,162,81399,0.27116564
18,Panda wok,"2444b Ennalls Ave, Silver Spring, MD 20902",2444b Ennalls Ave,Silver Spring,MD,20902,240317038003,39.0402911,-77.0523425,4.4,37,,1902,59,202,79238,0.031019978
19,Full Key,"2227 University Blvd W, Wheaton, MD 20902",2227 University Blvd W,Wheaton,MD,20902,240317038001,39.0418649,-77.0489183,4.2,557,2,2328,37,490,91000,0.01589347
20,China Wok,"13227 Garrett Hwy, Oakland, MD 21550",13227 Garrett Hwy,Oakland,MD,21550,240230006013,39.4268408,-79.3911587,3.7,450,1,1076,24,8,56583,0.022304833
21,Taipei Tokyo Cafe,"Metro Pike Shopping Center, 11510 Rockville Pike, Rockville, MD 20852","Metro Pike Shopping Center, 11510 Rockville Pike",Rockville,MD,20852,240317012161,39.0453072,-77.1132286,4.8,2299,2,2733,690,296,113750,0.25246981
